timestamp,datetime,mid_price,volatility,kappa,A,gamma,optimal_spread_bps,bid_spread_bps,ask_spread_bps,bid_price,ask_price,reservation_price
1763816236375,N/A,2720.450,0.000000,10.00,10.00,0.10,3.01,1.50,1.50,2720.04,2720.86,2720.45
1763816296428,N/A,2719.950,0.000069,0.48,0.06,0.10,36.98,18.49,18.49,2714.92,2724.98,2719.95
1763816356428,N/A,2720.950,0.000054,0.48,0.03,0.10,28.29,14.14,14.14,2717.10,2724.80,2720.95
1763816416528,N/A,2721.150,0.000048,0.50,0.02,0.10,24.76,12.38,12.38,2717.78,2724.52,2721.15
1763816476528,N/A,2719.250,0.000047,0.54,0.02,0.10,23.31,11.65,11.65,2716.08,2722.42,2719.25
1763816536528,N/A,2717.450,0.000046,0.60,0.01,0.10,21.63,10.81,10.81,2714.51,2720.39,2717.45
1763816596529,N/A,2714.350,0.000054,0.64,0.01,0.10,25.12,12.56,12.56,2710.94,2717.76,2714.35
1763816656530,N/A,2714.850,0.000053,0.65,0.01,0.10,24.45,12.22,12.22,2711.53,2718.17,2714.85
1763816716530,N/A,2713.650,0.000055,0.68,0.01,0.10,24.98,12.49,12.49,2710.26,2717.04,2713.65
1763816776638,N/A,2716.450,0.000057,0.73,0.01,0.10,25.17,12.58,12.58,2713.03,2719.87,2716.45
1763816836728,N/A,2718.350,0.000056,0.75,0.01,0.10,24.64,12.32,12.32,2715.00,2721.70,2718.35
1763816896732,N/A,2717.950,0.000055,0.76,0.01,0.10,24.20,12.10,12.10,2714.66,2721.24,2717.95
1763816956831,N/A,2723.950,0.000057,0.81,0.01,0.10,24.30,12.15,12.15,2720.64,2727.26,2723.95
1763817016928,N/A,2728.950,0.000059,0.79,0.01,0.10,25.79,12.89,12.89,2725.43,2732.47,2728.95
1763817076930,N/A,2733.550,0.000061,0.80,0.01,0.10,27.14,13.57,13.57,2729.84,2737.26,2733.55
1763817136931,N/A,2727.950,0.000062,0.81,0.01,0.10,27.71,13.85,13.85,2724.17,2731.73,2727.95
1763817197033,N/A,2729.350,0.000062,0.82,0.01,0.10,27.55,13.77,13.77,2725.59,2733.11,2729.35
1763817257128,N/A,2730.150,0.000061,0.82,0.01,0.10,26.81,13.40,13.40,2726.49,2733.81,2730.15
1763817317132,N/A,2728.850,0.000061,0.84,0.01,0.10,26.75,13.37,13.37,2725.20,2732.50,2728.85
1763817377132,N/A,2728.650,0.000061,0.88,0.01,0.10,26.53,13.26,13.26,2725.03,2732.27,2728.65
1763817437133,N/A,2725.650,0.000062,0.89,0.01,0.10,26.70,13.35,13.35,2722.01,2729.29,2725.65
1763817497228,N/A,2725.950,0.000062,0.90,0.01,0.10,26.48,13.24,13.24,2722.34,2729.56,2725.95
1763817557228,N/A,2725.050,0.000061,0.91,0.01,0.10,25.98,12.99,12.99,2721.51,2728.59,2725.05
1763817617229,N/A,2724.350,0.000060,0.91,0.01,0.10,25.54,12.77,12.77,2720.87,2727.83,2724.35
1763817677231,N/A,2724.150,0.000060,0.92,0.00,0.10,25.03,12.51,12.51,2720.74,2727.56,2724.15
1763817737234,N/A,2726.850,0.000059,0.93,0.00,0.10,24.93,12.46,12.46,2723.45,2730.25,2726.85
1763817797328,N/A,2720.850,0.000061,0.93,0.00,0.10,25.58,12.79,12.79,2717.37,2724.33,2720.85
1763817857328,N/A,2718.050,0.000062,0.82,0.00,0.10,27.00,13.50,13.50,2714.38,2721.72,2718.05
1763817917330,N/A,2716.450,0.000062,0.83,0.00,0.10,27.31,13.65,13.65,2712.74,2720.16,2716.45
1763817977332,N/A,2715.750,0.000062,0.84,0.00,0.10,27.02,13.51,13.51,2712.08,2719.42,2715.75
1763818037429,N/A,2716.050,0.000061,0.85,0.00,0.10,26.50,13.25,13.25,2712.45,2719.65,2716.05
1763818097529,N/A,2715.750,0.000060,0.86,0.00,0.10,25.99,12.99,12.99,2712.22,2719.28,2715.75
1763818157628,N/A,2716.650,0.000060,0.88,0.00,0.10,25.47,12.73,12.73,2713.19,2720.11,2716.65
1763818217832,N/A,2717.650,0.000059,0.89,0.00,0.10,24.87,12.43,12.43,2714.27,2721.03,2717.65
1763818277832,N/A,2716.950,0.000059,0.91,0.00,0.10,24.73,12.36,12.36,2713.59,2720.31,2716.95
1763818337930,N/A,2715.950,0.000059,0.83,0.00,0.10,25.47,12.73,12.73,2712.49,2719.41,2715.95
1763818398028,N/A,2718.850,0.000059,0.83,0.00,0.10,25.23,12.61,12.61,2715.42,2722.28,2718.85
1763818458030,N/A,2716.850,0.000059,0.84,0.00,0.10,25.17,12.58,12.58,2713.43,2720.27,2716.85
1763818518034,N/A,2719.250,0.000059,0.84,0.00,0.10,25.44,12.72,12.72,2715.79,2722.71,2719.25
1763818578127,N/A,2715.850,0.000059,0.84,0.00,0.10,25.33,12.66,12.66,2712.41,2719.29,2715.85
1763818638130,N/A,2712.150,0.000060,0.91,0.00,0.10,25.21,12.60,12.60,2708.73,2715.57,2712.15
1763818698229,N/A,2713.450,0.000060,0.91,0.00,0.10,25.20,12.60,12.60,2710.03,2716.87,2713.45
1763818758230,N/A,2714.250,0.000060,0.92,0.00,0.10,25.12,12.56,12.56,2710.84,2717.66,2714.25
